Rank,Name,Total Points,Quiksilver Pro Gold Coast,Rip Curl Pro Bells Beach,Santa Catarina Pro,Billabong Pro J-Bay,Billabong Pro Teahupoo,Hurley Pro Trestles,Quiksilver Pro France,Rip Curl Pro Portugal,Rip Curl Search,Billabong Pipe Masters,Billabong Rio Pro,Quiksilver Pro New York,Volcom Fiji Pro,O'Neill Coldwater Classic Santa Cruz,Oakley Pro Bali
32,Adam Melling,"7,750","1,750",500,,,500,"1,750",500,500,,500,"1,750",,500,500,
32,Jadson Andre,"7,750",500,"1,750",,,500,500,"1,750",500,,395,500,,500,"1,750",
32,Patrick Gudauskas,"7,750",500,500,,,500,500,"1,750",500,,395,"1,750",,500,"1,750",
32,Dusty Payne,"7,750",500,500,,,500,"1,750",500,"1,750",,395,500,,500,"1,750",
1,Mick Fanning,"54,400","6,500","5,200",,,"6,500","4,000","10,000","5,200",,"6,500","6,500",,"8,000",,"5,200"
2,Kelly Slater,"54,150","10,000","1,750",,,"8,000","1,750","5,200",500,,"10,000","5,200",,"10,000",,"4,000"
3,Joel Parkinson,"48,450","8,000","1,750",,,"4,000","1,750","6,500","6,500",,"6,500","1,750",,"5,200",,"10,000"
4,Jordy Smith,"43,150","1,750","6,500",,,"4,000","6,500","4,000","5,200",,500,"10,000",,"5,200",,"1,750"
5,Taj Burrow,"42,900","5,200","6,500",,,500,"10,000","4,000","4,000",,"1,750","4,000",,"4,000",,"5,200"
6,Julian Wilson,"40,950","5,200","1,750",,,"5,200","8,000","5,200","5,200",,"5,200","1,750",,"1,750",,"5,200"
7,Kai Otton,"39,600","1,750","5,200",,,"6,500","5,200","5,200","10,000",,"4,000","1,750",,"1,750",,"1,750"
8,Nat Young,"38,000","1,750","8,000",,,500,"1,750",500,"8,000",,"4,000","4,000",,"4,000",,"6,500"
9,Josh Kerr,"36,100","1,750","4,000",,,"5,200","5,200",500,"6,500",,"1,750","1,750",,"5,200",,"6,500"
10,John John Florence,"35,150","1,750",500,,,"5,200",500,"5,200","4,000",,"8,000",500,,"6,500",,"4,000"
