Heat,Name,Year,Average Points per Events
HEAT3,Filipe Toledo,2021,3841.875
HEAT3,Filipe Toledo,2019,4467.727272727273
HEAT3,Filipe Toledo,2018,4677.272727272727
HEAT3,Filipe Toledo,2017,3545.0
HEAT3,Filipe Toledo,2016,3933.3333333333335
HEAT3,Filipe Toledo,2015,4631.818181818182
HEAT3,Filipe Toledo,2014,2815.0
HEAT3,Filipe Toledo,2013,2440.0
HEAT3,Kanoa lgarashi,2024,3181.6666666666665
HEAT3,Kanoa lgarashi,2023,2810.0
HEAT3,Kanoa lgarashi,2022,3660.909090909091
HEAT3,Kanoa lgarashi,2021,3173.5714285714284
HEAT3,Kanoa lgarashi,2019,3653.181818181818
HEAT3,Kanoa lgarashi,2018,2774.5454545454545
HEAT3,Kanoa lgarashi,2017,2472.7272727272725
HEAT3,Kanoa lgarashi,2016,2204.5454545454545
HEAT4,Gabriel Medina,2024,3025.0
HEAT4,Gabriel Medina,2023,4324.0
HEAT4,Gabriel Medina,2022,5740.0
HEAT4,Gabriel Medina,2021,5425.0
HEAT4,Gabriel Medina,2019,5134.090909090909
HEAT4,Gabriel Medina,2018,5680.909090909091
HEAT4,Gabriel Medina,2017,4881.818181818182
HEAT4,Gabriel Medina,2016,4131.818181818182
HEAT4,Gabriel Medina,2015,4690.909090909091
HEAT4,Gabriel Medina,2014,5709.090909090909
HEAT4,Gabriel Medina,2013,2500.0
HEAT4,Gabriel Medina,2012,4135.0
HEAT4,Gabriel Medina,2011,4783.333333333333
HEAT4,Connor OLeary,2024,2232.5
HEAT4,Connor OLeary,2023,3103.5
HEAT4,Connor OLeary,2022,3350.5
HEAT4,Connor OLeary,2021,1234.2857142857142
HEAT4,Connor OLeary,2018,1505.909090909091
HEAT4,Connor OLeary,2017,2722.7272727272725
HEAT4,Bryan Perez,2022/2023,351.6666666666667
HEAT4,Bryan Perez,2021/2022,186.83333333333334
HEAT4,Bryan Perez,2020,196.66666666666666
HEAT4,Bryan Perez,2019,180.0
HEAT4,Bryan Perez,2018,140.0
HEAT5,Ramzi Boukhiam,2024,3133.3333333333335
HEAT5,Ramzi Boukhiam,2023,212.0
HEAT5,Billy Stairmand,2024/2025,3042.0
HEAT5,Billy Stairmand,2023/2024,711.5
HEAT5,Billy Stairmand,2022/2023,1035.0
HEAT5,Billy Stairmand,2021/2022,1419.0
HEAT5,Billy Stairmand,2021,1694.3333333333333
HEAT5,Billy Stairmand,2020,1311.6666666666667
HEAT5,Billy Stairmand,2019,527.1428571428571
HEAT5,Billy Stairmand,2018,228.57142857142858
HEAT5,Billy Stairmand,2017,316.0
HEAT5,Billy Stairmand,2016,528.5714285714286
HEAT5,Billy Stairmand,2015,803.5714285714286
HEAT5,Billy Stairmand,2014,661.9230769230769
HEAT5,Billy Stairmand,2013,303.2857142857143
HEAT5,Billy Stairmand,2012,378.125
