Athlete,Country,Date,Event,Rank,Points
Liv Lovelace,Australia,2023-02-05,Street World Championships Sharjah 2022,10,20558
Liv Lovelace,Australia,2022-07-03,World Street Skateboarding Rome 2022,51,349
Keet Oldenbeuving,Netherlands,2024-06-23,OQS Budapest 2024,17,23990
Keet Oldenbeuving,Netherlands,2024-05-19,OQS Shanghai 2024,19,19432
Keet Oldenbeuving,Netherlands,2024-03-10,World Skateboarding Tour - Street Dubai,22,1599
Keet Oldenbeuving,Netherlands,2023-12-17,WST Street World Championship 2023 Tokyo,13,14987
Keet Oldenbeuving,Netherlands,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,11,8720
Keet Oldenbeuving,Netherlands,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,18,2437
Keet Oldenbeuving,Netherlands,2023-02-05,Street World Championships Sharjah 2022,27,3238
Keet Oldenbeuving,Netherlands,2022-07-03,World Street Skateboarding Rome 2022,15,4552
Ibuki Matsumoto,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,4,28900
Nonoka Nakajima,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,16,3869
Nonoka Nakajima,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,31,2360
Nonoka Nakajima,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,71,147
Nonoka Nakajima,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,58,314
Nonoka Nakajima,Japan,2023-02-05,Street World Championships Sharjah 2022,15,12140
Nonoka Nakajima,Japan,2022-07-03,World Street Skateboarding Rome 2022,10,10258
