Athlete,Country,Date,Event,Rank,Points
Yukito Aoki,Japan,2023-02-05,Street World Championships Sharjah 2022,45,1309
Yukito Aoki,Japan,2022-07-03,World Street Skateboarding Rome 2022,12,7412
Alex Midler,United States,2024-06-23,OQS Budapest 2024,40,3648
Alex Midler,United States,2024-05-19,OQS Shanghai 2024,24,11474
Alex Midler,United States,2024-03-10,World Skateboarding Tour - Street Dubai,28,803
Alex Midler,United States,2023-12-17,WST Street World Championship 2023 Tokyo,5,39168
Alex Midler,United States,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,19,2194
Alex Midler,United States,2023-02-05,Street World Championships Sharjah 2022,14,13488
Alex Midler,United States,2022-07-03,World Street Skateboarding Rome 2022,33,458
Giovanni Vianna,Brazil,2024-06-23,OQS Budapest 2024,24,11474
Giovanni Vianna,Brazil,2024-05-19,OQS Shanghai 2024,7,98948
Giovanni Vianna,Brazil,2024-03-10,World Skateboarding Tour - Street Dubai,18,2437
Giovanni Vianna,Brazil,2023-12-17,WST Street World Championship 2023 Tokyo,49,1232
Giovanni Vianna,Brazil,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,3,34000
Giovanni Vianna,Brazil,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,18,2437
Giovanni Vianna,Brazil,2023-02-05,Street World Championships Sharjah 2022,15,12140
Giovanni Vianna,Brazil,2022-07-03,World Street Skateboarding Rome 2022,47,370
Chris Joslin,United States,2024-06-23,OQS Budapest 2024,13,42574
Chris Joslin,United States,2024-05-19,OQS Shanghai 2024,3,176800
Chris Joslin,United States,2024-03-10,World Skateboarding Tour - Street Dubai,45,382
Chris Joslin,United States,2023-12-17,WST Street World Championship 2023 Tokyo,31,2360
Chris Joslin,United States,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,27,944
Chris Joslin,United States,2023-02-05,Street World Championships Sharjah 2022,7,31726
Chris Joslin,United States,2022-07-03,World Street Skateboarding Rome 2022,9,12069
Matias Dell Olio,Argentina,2024-06-23,OQS Budapest 2024,5,127466
Matias Dell Olio,Argentina,2024-05-19,OQS Shanghai 2024,10,61632
Matias Dell Olio,Argentina,2024-03-10,World Skateboarding Tour - Street Dubai,33,458
Matias Dell Olio,Argentina,2023-12-17,WST Street World Championship 2023 Tokyo,29,2615
Matias Dell Olio,Argentina,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,31,688
Matias Dell Olio,Argentina,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,42,399
Matias Dell Olio,Argentina,2023-02-05,Street World Championships Sharjah 2022,18,8358
Matias Dell Olio,Argentina,2022-07-03,World Street Skateboarding Rome 2022,4,28900
Braden Hoban,United States,2024-06-23,OQS Budapest 2024,6,112262
Braden Hoban,United States,2024-05-19,OQS Shanghai 2024,9,69824
Braden Hoban,United States,2024-03-10,World Skateboarding Tour - Street Dubai,38,424
Braden Hoban,United States,2023-12-17,WST Street World Championship 2023 Tokyo,8,28553
Braden Hoban,United States,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,11,8720
Braden Hoban,United States,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,39,418
Braden Hoban,United States,2023-02-05,Street World Championships Sharjah 2022,43,1349
Braden Hoban,United States,2022-07-03,World Street Skateboarding Rome 2022,46,376
